Last Work Unit,Score,Score Δ,Rank,of,Top,Percentile,Rank Δ,Work Units,WU Δ
26/06/2009 11:24:00,"42,894",,"108,627","1,253,687",8.66%,91.34%,,223,
28/06/2009 20:40:00,"44,691","1,797","105,791","1,255,472",8.43%,91.57%,-0.24%,230,7
12/11/2010 21:12:26,"185,661","140,970","50,345","1,480,687",3.40%,96.60%,-5.03%,693,463
15/11/2010 01:12:03,"186,106",445,"50,265","1,481,107",3.39%,96.61%,-0.01%,698,5
15/11/2010 14:10:11,"186,165",59,"50,269","1,481,992",3.39%,96.61%,0.00%,699,1
15/11/2010 22:09:48,"186,291",126,"50,253","1,482,152",3.39%,96.61%,0.00%,700,1
16/11/2010 03:12:09,"186,360",69,"50,237","1,482,218",3.39%,96.61%,0.00%,701,1
16/11/2010 05:11:57,"186,429",69,"50,221","1,482,240",3.39%,96.61%,0.00%,702,1
16/11/2010 09:11:53,"186,498",69,"50,221","1,482,382",3.39%,96.61%,0.00%,703,1
16/11/2010 14:11:54,"186,567",69,"50,218","1,482,486",3.39%,96.61%,0.00%,704,1
16/11/2010 20:12:41,"186,636",69,"50,204","1,482,500",3.39%,96.61%,0.00%,705,1
16/11/2010 21:12:40,"186,705",69,"50,195","1,482,525",3.39%,96.61%,0.00%,706,1
17/11/2010 01:13:07,"187,255",550,"50,074","1,482,568",3.38%,96.62%,-0.01%,708,2
17/11/2010 13:12:31,"187,462",207,"50,049","1,482,819",3.38%,96.62%,0.00%,711,3
17/11/2010 23:11:42,"187,600",138,"50,027","1,482,920",3.37%,96.63%,0.00%,713,2
18/11/2010 04:12:08,"187,669",69,"50,021","1,482,973",3.37%,96.63%,0.00%,714,1
18/11/2010 05:12:03,"187,738",69,"50,009","1,482,986",3.37%,96.63%,0.00%,715,1
18/11/2010 16:11:58,"187,876",138,"49,996","1,483,195",3.37%,96.63%,0.00%,717,2
18/11/2010 20:11:43,"187,945",69,"49,975","1,483,240",3.37%,96.63%,0.00%,718,1
18/11/2010 22:12:03,"188,014",69,"49,958","1,483,253",3.37%,96.63%,0.00%,719,1
18/11/2010 23:12:36,"188,497",483,"49,869","1,483,262",3.36%,96.64%,-0.01%,720,1
19/11/2010 03:12:04,"188,566",69,"49,857","1,483,339",3.36%,96.64%,0.00%,721,1
19/11/2010 14:12:25,"188,773",207,"49,826","1,483,546",3.36%,96.64%,0.00%,724,3
19/11/2010 20:11:45,"188,842",69,"49,819","1,483,642",3.36%,96.64%,0.00%,725,1
20/11/2010 03:11:50,"188,980",138,"49,791","1,483,721",3.36%,96.64%,0.00%,727,2
20/11/2010 18:11:47,"189,256",276,"49,737","1,483,927",3.35%,96.65%,0.00%,731,4
21/11/2010 11:04:11,"190,013",757,"49,602","1,484,285",3.34%,96.66%,-0.01%,736,5
22/11/2010 02:04:20,"190,220",207,"49,563","1,484,410",3.34%,96.66%,0.00%,739,3
22/11/2010 04:04:44,"190,289",69,"49,557","1,484,493",3.34%,96.66%,0.00%,740,1
22/11/2010 15:04:51,"190,427",138,"49,541","1,484,605",3.34%,96.66%,0.00%,742,2
23/11/2010 12:05:47,"191,215",788,"49,379","1,484,942",3.33%,96.67%,-0.01%,746,4
23/11/2010 16:05:13,"191,284",69,"49,373","1,484,983",3.32%,96.68%,0.00%,747,1
23/11/2010 17:04:58,"191,353",69,"49,360","1,485,023",3.32%,96.68%,0.00%,748,1
25/11/2010 16:04:43,"191,560",207,"49,378","1,485,757",3.32%,96.68%,0.00%,751,3
26/11/2010 10:05:15,"193,031","1,471","49,112","1,486,056",3.30%,96.70%,-0.02%,754,3
27/11/2010 02:04:26,"193,581",550,"49,021","1,486,206",3.30%,96.70%,-0.01%,756,2
27/11/2010 18:11:56,"193,650",69,"49,027","1,486,398",3.30%,96.70%,0.00%,757,1
28/11/2010 06:06:08,"194,571",921,"48,838","1,486,617",3.29%,96.71%,-0.01%,758,1
28/11/2010 11:04:05,"194,640",69,"48,839","1,486,810",3.28%,96.72%,0.00%,759,1
28/11/2010 19:04:56,"195,121",481,"48,751","1,486,872",3.28%,96.72%,-0.01%,760,1
29/11/2010 10:05:24,"195,671",550,"48,660","1,487,187",3.27%,96.73%,-0.01%,762,2
30/11/2010 00:06:28,"196,207",536,"48,566","1,487,279",3.27%,96.73%,-0.01%,764,2
30/11/2010 18:04:48,"196,276",69,"48,575","1,487,559",3.27%,96.73%,0.00%,765,1
01/12/2010 13:06:03,"198,118","1,842","48,247","1,487,924",3.24%,96.76%,-0.02%,767,2
01/12/2010 22:05:23,"198,599",481,"48,150","1,487,998",3.24%,96.76%,-0.01%,768,1
02/12/2010 05:05:27,"199,082",483,"48,076","1,488,068",3.23%,96.77%,-0.01%,769,1
03/12/2010 04:06:29,"200,484","1,402","47,840","1,488,394",3.21%,96.79%,-0.02%,771,2
03/12/2010 18:05:58,"200,965",481,"47,767","1,488,593",3.21%,96.79%,-0.01%,772,1
04/12/2010 10:05:58,"202,367","1,402","47,525","1,488,982",3.19%,96.81%,-0.02%,774,2
04/12/2010 23:05:54,"202,848",481,"47,426","1,489,068",3.18%,96.82%,-0.01%,775,1
05/12/2010 03:05:35,"203,329",481,"47,322","1,489,126",3.18%,96.82%,-0.01%,776,1
05/12/2010 19:05:48,"203,810",481,"47,258","1,489,428",3.17%,96.83%,0.00%,777,1
06/12/2010 12:06:44,"205,214","1,404","47,006","1,489,728",3.16%,96.84%,-0.02%,779,2
06/12/2010 22:05:53,"205,695",481,"46,918","1,489,855",3.15%,96.85%,-0.01%,780,1
07/12/2010 04:06:24,"206,176",481,"46,828","1,489,943",3.14%,96.86%,-0.01%,781,1
07/12/2010 20:06:23,"206,657",481,"46,753","1,490,275",3.14%,96.86%,-0.01%,782,1
08/12/2010 06:05:47,"207,578",921,"46,603","1,490,355",3.13%,96.87%,-0.01%,783,1
09/12/2010 03:04:54,"208,128",550,"46,527","1,490,681",3.12%,96.88%,-0.01%,785,2
