Whole Wheat Radio Artist,Play Count
Danny Schmidt,3094
Larry Zarella,2778
Harry Manx,2671
Dave Carter & Tracy Grammer,2506
Johnsmith,2411
Kris Delmhorst,2274
A Whole Wheat Radio Listener,2270
Paul Kamm And Eleanore Macdonald,2200
Esther Golton,2134
David Francey,2103
Joel Mabus,2042
Guy Davis,2038
Stephen Bennett,1997
Antje Duvekot,1990
Big Head Todd and The Monsters,1898
Michael Chapdelaine,1817
Dar Williams,1791
Peter Mulvey,1774
Sloan Wainwright,1749
The Waybacks,1684
David M. Bailey,1670
Radoslav Lorkovic,1660
Greg Brown,1651
Doug Geeting,1648
Brooks Williams,1612
Jack Williams,1581
Buster B Jones,1474
Allison Crowe,1466
Townes Van Zandt,1362
Robin Hopper,1277
Jeffrey Foucault,1208
Small Potatoes,1188
Muriel Anderson,1157
Alice di Micele,1157
Bet Williams,1149
Kacey Jones,1100
Kristina Olsen,1029
Girlyman,1018
Steve Durr,991
Laurence Juber,990
Nickel Creek,987
Riley Woodford,985
Karen Savoca,984
Anna Stange,960
Roger Lasley,957
Eddie From Ohio,943
Ellis Paul,943
Houston Jones,930
Michael McNevin,927
Dougie MacLean,912
Marian Call,902
Ken Waldman,900
Dayna Kurtz,894
Emily Kurn,778
Last Train Home,773
Ani DiFranco,772
Lori McKenna,771
Deb Talan,767
The Weepies,766
John Gorka,760
Bill Wharton and the Ingredients,754
Acoustic Eidolon,751
Bob Malone,744
Kate Campbell,743
Jimmy LaFave,743
Nina Storey,742
Carbon Leaf,742
Red Molly,738
Janis Ian,737
World's Greatest Fishing Band,735
Edie Carey,731
Korby Lenker,731
David Wilcox,729
Erik Balkey,729
David Rovics,728
Chris Smither,725
Mikael Santana,717
Bearfoot Bluegrass,713
Mark Erelli,712
Groovelily,708
Jed Marum,708
Diane Zeigler,705
jaime michaels,699
Kevin McKendree,697
Natalie Merchant,694
Halie Loren,691
George Wirth,689
Rich Baumann,685
Guy Clark,684
Arlo Guthrie,680
Anaö_Ì÷s Mitchell,680
Dana Cunningham,679
Tommy Castro,675
Ernie Hawkins,675
Eric Hansen,673
Cliff Eberhardt,672
Susan Tedeschi,668
Krista Detor,667
